IBOV - Carteira do Dia 10/11/22
Codigo;Acao;Tipo;Qtde.STeorica;Part.(%)
RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,433;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,158;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,379;
AMER3;AMERICANAS;ON      NM;596.086.291;0,387;
ARZZ3;AREZZO CO;ON      NM;60.358.029;0,264;
ASAI3;ASSAI;ON      NM;795.949.801;0,759;
AZUL4;AZUL;PN      N2;327.646.296;0,233;
B3SA3;B3;ON      NM;5.901.731.302;4,204;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,116;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,981;
BRML3;BR MALLS PAR;ON      NM;828.273.884;0,387;
BBDC3;BRADESCO;ON  EJ  N1;1.508.883.586;0,936;
BBDC4;BRADESCO;PN  EJ  N1;5.156.077.326;3,699;
BRAP4;BRADESPAR;PN  EDJ N1;251.025.058;0,289;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,461;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,370;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,603;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,615;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,452;
CCRO3;CCR SA;ON  ED  NM;1.115.681.435;0,639;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,766;
CIEL3;CIELO;ON      NM;1.095.401.258;0,278;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,238;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,572;
CSAN3;COSAN;ON      NM;1.171.063.698;0,982;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,307;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,206;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,085;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,221;
DXCO3;DEXCO;ON      NM;274.863.424;0,133;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,078;
ELET3;ELETROBRAS;ON      N1;1.447.696.333;3,275;
ELET6;ELETROBRAS;PNB     N1;279.941.393;0,685;
EMBR3;EMBRAER;ON      NM;734.632.205;0,458;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,257;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,546;
ENEV3;ENEVA;ON      NM;1.561.135.009;1,008;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,482;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,510;
EZTC3;EZTEC;ON      NM;94.318.339;0,085;
FLRY3;FLEURY;ON      NM;370.847.036;0,314;
GGBR4;GERDAU;PN      N1;1.111.956.242;1,482;
GOAU4;GERDAU MET;PN      N1;686.077.578;0,392;
GOLL4;GOL;PN      N2;190.059.275;0,083;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,513;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,313;
HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,539;
HYPE3;HYPERA;ON      NM;400.842.480;0,910;
IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,209;
IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,104;
ITSA4;ITAUSA;PN      N1;4.736.060.282;2,251;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.799.907.051;6,315;
JBSS3;JBS;ON      NM;1.134.986.483;1,344;
KLBN11;KLABIN S/A;UNT EDJ N2;701.899.756;0,739;
RENT3;LOCALIZA;ON      NM;893.978.241;2,935;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,196;
LREN3;LOJAS RENNER;ON      NM;970.515.779;1,244;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,600;
MRFG3;MARFRIG;ON      NM;316.724.584;0,169;
CASH3;MELIUZ;ON      NM;657.963.256;0,036;
BEEF3;MINERVA;ON      NM;260.409.710;0,174;
MRVE3;MRV;ON      NM;298.436.955;0,132;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,319;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,150;
PETR3;PETROBRAS;ON      N2;2.684.384.823;3,771;
PETR4;PETROBRAS;PN      N2;4.566.441.248;5,741;
PRIO3;PETRORIO;ON      NM;839.159.130;1,460;
PETZ3;PETZ;ON      NM;335.672.329;0,139;
POSI3;POSITIVO TEC;ON      NM;73.573.028;0,037;
QUAL3;QUALICORP;ON      NM;277.039.277;0,089;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,441;
RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,260;
RDOR3;REDE D OR;ON      NM;932.048.593;1,407;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,164;
SBSP3;SABESP;ON      NM;340.002.999;0,917;
SANB11;SANTANDER BR;UNT;355.642.848;0,486;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,189;
CSNA3;SID NACIONAL;ON;589.695.175;0,369;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,199;
SULA11;SUL AMERICA;UNT     N2;284.059.601;0,322;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,872;
TAEE11;TAESA;UNT     N2;218.568.234;0,400;
VIVT3;TELEF BRASIL;ON;429.455.552;0,824;
TIMS3;TIM;ON      NM;808.436.195;0,518;
TOTS3;TOTVS;ON      NM;519.851.955;0,811;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,689;
USIM5;USIMINAS;PNA     N1;515.014.562;0,183;
VALE3;VALE;ON      NM;4.547.296.398;15,546;
VIIA3;VIA;ON      NM;1.576.975.642;0,206;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,959;
WEGE3;WEG;ON      NM;1.481.593.024;2,811;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,190;
Quantidade Te�rica Total;;;100.579.945.354;100,000
Redutor;;;18.838.098,26140120
